,importance
votes,0.050353107344632754
cuisine__Cafe,0.0027542372881355524
cuisine__Pub Food,0.0007768361581920291
cuisine__Thai,0.00028248587570618434
cuisine__Indian,0.00014124293785308106
cuisine__Sushi,7.062146892654609e-05
cuisine__Asian,7.062146892653499e-05
cuisine__Pizza,7.062146892651277e-05
cuisine__Burger,0.0
cuisine__Vietnamese,0.0
cuisine__Bar Food,-7.062146892655718e-05
cuisine__Japanese,-7.062146892655718e-05
subzone,-0.00014124293785313657
cuisine__Italian,-0.0003531073446327859
cuisine__Seafood,-0.0004237288135593431
